gene,PanCancer_Core_Fitness,bagel_essential_curated,Ribosomal_Proteins,DNA_replication,RNA_polymerase,Proteasome,Spliceosome,Histones
RRM2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SF3B14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNRPD2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SPC25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TWISTNB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VCP,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
XAB2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCT8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPB2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CPSF3L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CTDP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF3B,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GTF2B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GTPBP4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HIST1H2BF,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IGBP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLD1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PRPF19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSMA6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSMD6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RBMX,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPA3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
RPL17,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL23,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL34,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SNRPD1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNRPG,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TICRR,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TXNL4A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
UBE2I,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
USP39,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BCL2L2-PABPN1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC123,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDX56,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HIST1H2BH,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
KAT8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LSM4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
LSM7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MAD2L1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MED11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NHP2L1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NUP160,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHB,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR2D,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PSMB4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RGPD6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL19,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS18,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS20,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS21,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS27A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SF1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SF3A3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SNRPF,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SRP19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U2AF1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AQR,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIRC5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC5L,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDT1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CPSF3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DYNC1I2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EEF2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF2B4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HIST1H2AJ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
LARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MED28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NSF,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NUDT21,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NUTF2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSMA7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PSMB2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RPS13,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS14,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS15A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS9,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SLMO2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SRSF7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WDR33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ANAPC1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AURKB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCT3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DARS,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DHDDS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF3I,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HIST1H2BC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MED6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NCBP2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NIFK,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NPIPA5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ORC6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHB2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PRELID1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PSMB7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RANGAP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPLP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SARS,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SPC24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UBA52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ANKLE2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCNK,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCT6A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDX47,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DUT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF2B2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KARS,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NARFL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PAFAH1B1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SF3A1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SF3A2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SPDL1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPS5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DHX15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
EIF3A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIF23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LSM2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LSM3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MAK16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MED31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR2H,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
POLR3B,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PRPF8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
RPA2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
RPAP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL18,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL27,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RRN3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RUVBL2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SRSF1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SRSF2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SSU72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SUPT16H,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
YARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BRF2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRNKL1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDB1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF3F,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INTS9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MCM2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NEDD8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NUF2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCNA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PPIL2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MAK16,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PSMA5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PSMD12,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RBX1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL7,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPSA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SDE2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SMC4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNW1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TUBA1C,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WDR43,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
XRCC6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCDC94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCT7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHAF1B,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF1AX,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF2S1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KPNB1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR3A,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
RPLP0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SRP54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOP2A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDC73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPB1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPZ1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CWC22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MTBP,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR2E,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PSMA3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
QARS,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RBBP6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL13A,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL26,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS4X,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TSR2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
U2AF2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ABCE1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ATP6V0D1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDK9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHMP2A,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPS2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDX18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DHX16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DYNC1H1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GINS2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GNL3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HNRNPL,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MFAP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NCBP1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPS24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
UFD1L,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WDR70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CENPM,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIF3D,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EPRS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LUC7L3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MDN1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NAPA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLR2G,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
PSMD14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PSMD3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RPL4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL7L1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SLU7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TOPBP1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UBB,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VARS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DTL,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FARSB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GNB2L1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GPN1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MCM3AP,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NEDD1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NSA2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NUP133,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
RPL38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SDAD1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNRNP200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SUPT6H,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRAPPC3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TUT1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UPF2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
